sNo         Students  Course-Code   Semester  Course Name
----------------------------------------------------------------------------------------------------
Tst24           1022  23CSE301      3         Operating Systems
Tst09            959  23BSCSMA31    3         Discrete Mathematics and Graph Theory
Tst08            932  23CSE304      3         Database Management Systems
Tst26            606  23CSE303      3         Software Engineering
Tst38            544  22HSS101      5         Business Communication and Storytelling
Tst06            425  23CSE302      3         Computer Organisation and Architecture
Tst33            383  23CSE514      5         Advanced Machine Learning
Tst14            345  23CSE305      3         Foundations of Cloud Computing
Tst72            327  23CSE150      5         Leadership and Negotiation Skills
Tst103           307  22CSE349      7         Essentials of Software Quality Assurance
Tst104           307  22CSE517      7         Essentials of Internet of Things
Tst60            299  23CSE506      5         Essentials of Machine Learning
Tst12            280  23CSE316      3         Essentials of Data Warehousing and Data Mining
Tst22            280  23CSE313      3         Machine Learning
Tst45            267  23CSE226      5         Computer Vision and Image Processing
Tst61            267  23CSE116      5         Essentials of Deep Learning
Tst32            238  23CSE503      5         Advanced Computer Networks
Tst64            238  23CSE505      5         Fundamentals of Artificial Intelligence
Tst01            217  23AIMLDE21    3         Applications of AI
Tst67            201  23BSCSMA51    5         Inferential Statistics
Tst87            193  22CSE226      7         Computer Vision and Image Processing
Tst98            193  22CSE544      7         Data Streaming and Analysis
Tst128           189  22CSEDE14     7         RestAPIs using Spring Boot Framework
Tst115           185  22CSEDE15     7         Frontend Framework using Angular and React
Tst83            174  23AIMLDE22    5         REINFORCEMENT LEARNING
Tst107           163  22AIMLDE24    7         Elective -4 - Speech Recognition and Converstational Systems
Tst108           163  22AIMLDE25    7         Elective -5 - ESG Analytics
Tst36            155  23CSEDE11     5         Backend Programming
Tst53            147  23CSEDE21     5         Data modelling with NOSQL Database
Tst39            125  22HSS204      5         Business Communication and Presentation Skills
Tst100           118  22CSEDE25     7         Data Visualization using Tableau
Tst101           118  22CSEDE24     7         Data Analytics using SQL
Tst02            117  23CSE306      3         Artificial Intelligence
Tst37             87  23CSE513      5         Bigdata Analytics
Tst48             87  23CSE515      5         Cloud Computing and Virtualization
Tst82             72  23AIMLDE12    5         BLOCKCHAIN TECHNOLOGIES FOR DATA SCIENCE
Tst135            71  22CSE325      7         Spark for data science
Tst136            71  22DSDE14      7         Social Medial Analytics
