Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
16-Sept-25,Slot-1,327B,A,1,24BTRCA040,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,2,24BTRCA041,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,3,24BTRCA042,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,4,24BTRCA043,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,5,24BTRCA044,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,6,24BTRCA045,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,7,24BTRCA046,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,8,24BTRCA047,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,9,24BTRCA048,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,10,24BTRCA049,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,11,24BTRCA050,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,12,24BTRCA051,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,13,24BTRCA052,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,14,24BTRCA054,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,15,24BTRCA055,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,16,24BTRCA060,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,17,24BTRCA065,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,18,24BTRCA056,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,19,24BTRCA057,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,20,24BTRCA058,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,21,24BTRCA059,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,22,24BTRCA061,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,23,24BTRCA062,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,24,24BTRCA063,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,25,24BTRCA064,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,26,24BTRCA066,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,27,24BTRCA067,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,28,3AILateral1,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,29,3AILateral2,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,30,24BTRBT022,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,31,24BTRBT014,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,32,24BTRCO016,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,33,24BTRSN001,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,34,24BTRSN002,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,35,24BTRSN003,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,36,24BTRSN004,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,37,24BTRSN005,Tst26,23CSE303
16-Sept-25,Slot-1,327B,A,38,24BTRSN006,Tst26,23CSE303
16-Sept-25,Slot-1,327B,B,1,23BTRSN001,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,2,23BTRSN005,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,3,23BTRSN006,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,4,23BTRSN007,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,5,23BTRSN008,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,6,23BTRSN009,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,7,23BTRSN010,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,8,23BTRSN011,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,9,23BTRSN012,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,10,23BTRSN013,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,11,23BTRSN014,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,12,23BTRSN016,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,13,23BTRSN017,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,14,23BTRSN018,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,15,23BTRSN019,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,16,23BTRSN020,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,17,23BTRSN022,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,18,23BTRSN023,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,19,23BTRSN026,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,20,23BTRSN028,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,21,23BTRSN029,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,22,23BTRSN030,Tst78,23CSE502
16-Sept-25,Slot-1,327B,B,23,23BTRSN031,Tst78,23CSE502
