Course student counts report
========================================
Files scanned: 18
  assignments_20251110_Slot-1.csv, assignments_20251110_Slot-2.csv, assignments_20251110_Slot-3.csv, assignments_20251110_Slot-4.csv, assignments_20251111_Slot-1.csv, assignments_20251111_Slot-2.csv, assignments_20251111_Slot-3.csv, assignments_20251111_Slot-4.csv, assignments_20251112_Slot-1.csv, assignments_20251112_Slot-2.csv, assignments_20251112_Slot-3.csv, assignments_20251112_Slot-4.csv, assignments_20251113_Slot-1.csv, assignments_20251113_Slot-2.csv, assignments_20251113_Slot-3.csv, assignments_20251114_Slot-1.csv, assignments_20251114_Slot-2.csv, assignments_20251114_Slot-4.csv
Total assignment rows scanned: 60354
Rows with missing or empty sNo while USN present: 0

sNo         Students  Course-Code   Semester  Course Name
----------------------------------------------------------------------------------------------------
Tst214          1477  25ESCS02      1         Data Structure Using C
Tst24           1083  23CSE301      3         Operating Systems
Tst09           1019  23BSCSMA31    3         Discrete Mathematics and Graph Theory
Tst08            992  23CSE304      3         Database Management Systems
Tst204           948  22HSS104      7         INDIAN CONSTITUTION
Tst205           948  22HSS105      7         INTELLECTUAL PROPERTY RIGHTS
Tst208           839  24HSS109      3         ECONOMICS FOR ENGINEERS
Tst200           835  22HSS203      5         RESEARCH METHODOLOGY
Tst26            643  23CSE303      3         Software Engineering
Tst201           627  23JUGEHSS26   5         LAUNCHING AND MANAGING AN ENTERPRISE
Tst207           601  22JUGEHSS33   7         SUSTAINABLE ENTREPRENEURSHIP
Tst38            570  22HSS101      5         Business Communication and Storytelling
Tst06            436  23CSE302      3         Computer Organisation and Architecture
Tst33            385  23CSE514      5         Advanced Machine Learning
Tst14            382  23CSE305      3         Foundations of Cloud Computing
Tst103           353  22CSE349      7         Essentials of Software Quality Assurance
Tst104           353  22CSE517      7         Essentials of Internet of Things
Tst206           343  22JUGEHSS32   7         PRODUCT MANAGEMENT
Tst72            329  23CSE150      5         Leadership and Negotiation Skills
Tst60            323  23CSE506      5         Essentials of Machine Learning
Tst12            292  23CSE316      3         Essentials of Data Warehousing and Data Mining
Tst22            292  23CSE313      3         Machine Learning
Tst202           288  23JUGEHSS38   5         CONSUMER BEHAVIOUR
Tst45            269  23CSE226      5         Computer Vision and Image Processing
Tst61            269  23CSE116      5         Essentials of Deep Learning
Tst32            262  23CSE503      5         Advanced Computer Networks
Tst64            262  23CSE505      5         Fundamentals of Artificial Intelligence
Tst128           227  22CSEDE14     7         RestAPIs using Spring Boot Framework
Tst115           223  22CSEDE15     7         Frontend Framework using Angular and React
Tst01            218  23AIMLDE21    3         Applications of AI
Tst87            201  22CSE226      7         Computer Vision and Image Processing
