SN,Class room,A-seats,B-seats,Total-seats
1,101,31,28,59
2,102,25,23,48
3,103,29,25,54
4,105,30,28,58
5,108,30,30,60
6,110,31,25,56
7,113A,31,24,55
8,113B,31,25,56
9,113C,31,25,56
10,114B,33,21,54
11,115A,35,28,63
12,115B,35,28,63
13,115C,35,28,63
14,116A,35,28,63
15,116B,35,28,63
16,123A,35,28,63
17,124A,18,18,36
18,124B,18,18,36
19,125A,30,30,60
20,125B,30,30,60
21,126A,30,30,60
22,126B,30,30,60
23,127A,35,28,63
24,127B,34,28,62
25,127C,35,28,63
26,201,28,28,56
27,202,32,31,63
28,203,24,24,48
29,204,33,26,59
30,205,30,29,59
31,206,28,28,56
32,208,28,28,56
33,211,28,29,57
34,212,30,23,53
35,214A,34,27,61
36,214B,32,26,58
37,214C,33,27,60
38,215A,34,27,61
39,215B,33,27,60
40,215C,33,28,61
41,219A,18,18,36
42,219B,18,18,36
43,221B,36,24,60
44,222A,35,30,65
45,222B,39,26,65
46,224A,18,18,36
47,224B,18,18,36
48,303,33,26,59
49,304,29,24,53
50,306,28,26,54
51,307,28,28,56
52,308,28,28,56
53,316A,35,28,63
54,316B,36,29,65
55,318A,36,36,72
56,321A,28,28,56
57,322B,30,28,58
58,327A,30,29,59
59,327B,38,28,66
