Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
10-Nov-25,Slot-1,318A,A,1,24BTRSN007,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,2,24BTRSN008,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,3,24BTRSN009,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,4,24BTRSN010,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,5,24BTRSN011,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,6,24BTRSN012,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,7,24BTRSN013,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,8,24BTRSN014,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,9,24BTRSN015,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,10,24BTRSN016,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,11,24BTRSN017,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,12,24BTRSN018,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,13,24BTRSN019,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,14,24BTRSN021,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,15,24BTRSN022,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,16,24BTRSN023,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,17,24BTRSN024,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,18,24BTRSN025,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,19,24BTRSN026,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,20,24BTRSN027,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,21,24BTRSN028,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,22,24BTRSN029,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,23,24BTRSN030,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,24,24BTRSN032,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,25,24BTRSN033,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,26,24BTRSN034,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,27,24BTRSN035,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,28,24BTRSN036,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,29,24BTRSN037,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,30,24BTRSN038,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,31,24BTRSN040,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,32,24BTRSN041,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,33,24BTRSN042,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,34,24BTRSN043,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,35,24BTRSN044,Tst06,23CSE302
10-Nov-25,Slot-1,318A,A,36,24BTRSN045,Tst06,23CSE302
10-Nov-25,Slot-1,318A,B,1,23BTRAD001,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,2,23BTRAD002,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,3,23BTRAD003,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,4,23BTRAD004,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,5,23BTRAD005,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,6,23BTRAD006,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,7,23BTRAD007,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,8,23BTRAD008,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,9,23BTRAD009,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,10,23BTRAD010,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,11,23BTRAD011,Tst72,23CSE150
10-Nov-25,Slot-1,318A,B,12,23BTRAD013,Tst72,23CSE150
