Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
11-Nov-25,Slot-2,318A,A,1,22BTRCB001,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,2,22BTRCB002,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,3,22BTRCB003,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,4,22BTRCB004,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,5,22BTRCB005,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,6,22BTRCB006,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,7,22BTRCB007,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,8,22BTRCB009,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,9,22BTRCB010,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,10,22BTRCB011,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,11,22BTRCB012,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,12,22BTRCB014,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,13,22BTRCB015,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,14,22BTRCB016,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,15,22BTRCB017,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,16,22BTRCB018,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,17,22BTRCB019,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,18,22BTRCB020,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,19,22BTRCB021,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,20,22BTRCB022,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,21,22BTRCB023,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,22,22BTRCB024,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,23,22BTRCB025,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,24,22BTRCB026,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,25,22BTRCB027,Tst117,22CSBS218
11-Nov-25,Slot-2,318A,A,26,22BTRCB028,Tst117,22CSBS218
