Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
10-Nov-25,Slot-2,318A,A,1,22BTLCN006,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,2,22BTRCN128,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,3,22BTRCN131,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,4,22BTRCN135,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,5,22BTRCN136,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,6,22BTRCN137,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,7,22BTRCN139,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,8,22BTRCN140,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,9,22BTRCN143,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,10,22BTRCN144,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,11,22BTRCN145,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,12,22BTRCN146,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,13,22BTRCN147,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,14,22BTRCN150,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,15,22BTRCN151,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,16,22BTRCN152,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,17,22BTRCN153,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,18,22BTRCN156,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,19,22BTRCN159,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,20,22BTRCN160,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,21,22BTRCN164,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,22,22BTRCN165,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,23,22BTRCN166,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,24,22BTRCN168,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,25,22BTRCN169,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,26,22BTRCN170,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,27,22BTRCN171,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,28,22BTRCN172,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,29,22BTRCN174,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,30,22BTRCN179,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,31,22BTRCN181,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,32,22BTRCN182,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,33,22BTRCN184,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,34,22BTRCN185,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,35,22BTRCN189,Tst103,22CSE349
10-Nov-25,Slot-2,318A,A,36,22BTRCN190,Tst103,22CSE349
10-Nov-25,Slot-2,318A,B,1,22BTRCL001,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,2,22BTRCL002,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,3,22BTRCL003,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,4,22BTRCL004,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,5,22BTRCL005,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,6,22BTRCL006,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,7,22BTRCL008,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,8,22BTRCL014,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,9,22BTRCL015,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,10,22BTRCL018,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,11,22BTRCL024,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,12,22BTRCL025,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,13,22BTRCL030,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,14,22BTRCL035,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,15,22BTRCL036,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,16,22BTRCL042,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,17,22BTRCL045,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,18,22BTRCL048,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,19,22BTRCL049,Tst87,22CSE226
10-Nov-25,Slot-2,318A,B,20,22BTRCL054,Tst87,22CSE226
